Ticker,Name,OtherName,Sector,Industry
MSFT,Microsoft Corporation,Microsoft,Technology,Software - Infrastructure
AAPL,Apple Inc.,Apple,Technology,Consumer Electronics
NVDA,NVIDIA Corporation,NVIDIA,Technology,Semiconductors
GOOG,Alphabet Inc.,Alphabet (Google),Communication Services,Internet Content & Information
AMZN,"Amazon.com, Inc.",Amazon,Consumer Cyclical,Internet Retail
META,"Meta Platforms, Inc.",Meta Platforms (Facebook),Communication Services,Internet Content & Information
BRK-B,Berkshire Hathaway Inc.,Berkshire Hathaway,Financial Services,Insurance - Diversified
LLY,Eli Lilly and Company,Eli Lilly,Healthcare,Drug Manufacturers - General
TSLA,"Tesla, Inc.",Tesla,Consumer Cyclical,Auto Manufacturers
AVGO,Broadcom Inc.,Broadcom,Technology,Semiconductors
JPM,JPMorgan Chase & Co.,JPMorgan Chase,Financial Services,Banks - Diversified
WMT,Walmart Inc.,Walmart,Consumer Defensive,Discount Stores
V,Visa Inc.,Visa,Financial Services,Credit Services
XOM,Exxon Mobil Corporation,Exxon Mobil,Energy,Oil & Gas Integrated
UNH,UnitedHealth Group Incorporated,UnitedHealth,Healthcare,Healthcare Plans
MA,Mastercard Incorporated,Mastercard,Financial Services,Credit Services
ORCL,Oracle Corporation,Oracle,Technology,Software - Infrastructure
COST,Costco Wholesale Corporation,Costco,Consumer Defensive,Discount Stores
PG,The Procter & Gamble Company,Procter & Gamble,Consumer Defensive,Household & Personal Products
JNJ,Johnson & Johnson,Johnson & Johnson,Healthcare,Drug Manufacturers - General
HD,"The Home Depot, Inc.",Home Depot,Consumer Cyclical,Home Improvement Retail
MRK,"Merck & Co., Inc.",Merck,Healthcare,Drug Manufacturers - General
BAC,Bank of America Corporation,Bank of America,Financial Services,Banks - Diversified
NFLX,"Netflix, Inc.",Netflix,Communication Services,Entertainment
ABBV,AbbVie Inc.,AbbVie,Healthcare,Drug Manufacturers - General
CVX,Chevron Corporation,Chevron,Energy,Oil & Gas Integrated
AMD,"Advanced Micro Devices, Inc.",AMD,Technology,Semiconductors
KO,The Coca-Cola Company,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic
ADBE,Adobe Inc.,Adobe,Technology,Software - Infrastructure
CRM,"Salesforce, Inc.",Salesforce,Technology,Software - Application
QCOM,QUALCOMM Incorporated,QUALCOMM,Technology,Semiconductors
PEP,"PepsiCo, Inc.",Pepsico,Consumer Defensive,Beverages - Non-Alcoholic
TMUS,"T-Mobile US, Inc.",T-Mobile US,Communication Services,Telecom Services
WFC,Wells Fargo & Company,Wells Fargo,Financial Services,Banks - Diversified
TMO,Thermo Fisher Scientific Inc.,Thermo Fisher Scientific,Healthcare,Diagnostics & Research
AMAT,"Applied Materials, Inc.",Applied Materials,Technology,Semiconductor Equipment & Materials
CSCO,"Cisco Systems, Inc.",Cisco,Technology,Communication Equipment
INTU,Intuit Inc.,Intuit,Technology,Software - Application
TXN,Texas Instruments Incorporated,Texas Instruments,Technology,Semiconductors
ABT,Abbott Laboratories,Abbott Laboratories,Healthcare,Medical Devices
MCD,McDonald's Corporation,McDonald,Consumer Cyclical,Restaurants
DIS,The Walt Disney Company,Walt Disney,Communication Services,Entertainment
DHR,Danaher Corporation,Danaher,Healthcare,Diagnostics & Research
GE,GE Aerospace,General Electric,Industrials,Aerospace & Defense
VZ,Verizon Communications Inc.,Verizon,Communication Services,Telecom Services
AXP,American Express Company,American Express,Financial Services,Credit Services
AMGN,Amgen Inc.,Amgen,Healthcare,Drug Manufacturers - General
NOW,"ServiceNow, Inc.",ServiceNow,Technology,Software - Application
MS,Morgan Stanley,Morgan Stanley,Financial Services,Capital Markets
IBM,International Business Machines Corporation,IBM,Technology,Information Technology Services
CAT,Caterpillar Inc.,Caterpillar,Industrials,Farm & Heavy Construction Machinery
PFE,Pfizer Inc.,Pfizer,Healthcare,Drug Manufacturers - General
PM,Philip Morris International Inc.,Philip Morris,Consumer Defensive,Tobacco
ISRG,"Intuitive Surgical, Inc.",Intuitive Surgical,Healthcare,Medical Instruments & Supplies
GS,"The Goldman Sachs Group, Inc.",Goldman Sachs,Financial Services,Capital Markets
CMCSA,Comcast Corporation,Comcast,Communication Services,Telecom Services
UBER,"Uber Technologies, Inc.",Uber,Technology,Software - Application
NEE,"NextEra Energy, Inc.",Nextera Energy,Utilities,Utilities - Regulated Electric
MU,"Micron Technology, Inc.",Micron Technology,Technology,Semiconductors
LRCX,Lam Research Corporation,Lam Research,Technology,Semiconductor Equipment & Materials
SPGI,S&P Global Inc.,S&P Global,Financial Services,Financial Data & Stock Exchanges
HON,Honeywell International Inc.,Honeywell,Industrials,Conglomerates
UNP,Union Pacific Corporation,Union Pacific Corporation,Industrials,Railroads
INTC,Intel Corporation,Intel,Technology,Semiconductors
T,AT&T Inc.,AT&T,Communication Services,Telecom Services
SCHW,The Charles Schwab Corporation,Charles Schwab,Financial Services,Capital Markets
RTX,RTX Corporation,Raytheon Technologies,Industrials,Aerospace & Defense
BKNG,Booking Holdings Inc.,Booking Holdings (Booking.com),Consumer Cyclical,Travel Services
COP,ConocoPhillips,ConocoPhillips,Energy,Oil & Gas E&P
SYK,Stryker Corporation,Stryker Corporation,Healthcare,Medical Devices
TJX,"The TJX Companies, Inc.",TJX Companies,Consumer Cyclical,Apparel Retail
ELV,"Elevance Health, Inc.",Elevance Health,Healthcare,Healthcare Plans
PGR,The Progressive Corporation,Progressive,Financial Services,Insurance - Property & Casualty
VRTX,Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals,Healthcare,Biotechnology
C,Citigroup Inc.,Citigroup,Financial Services,Banks - Diversified
LOW,"Lowe's Companies, Inc.",Lowe's Companies,Consumer Cyclical,Home Improvement Retail
BLK,"BlackRock, Inc.",BlackRock,Financial Services,Asset Management
UPS,"United Parcel Service, Inc.",United Parcel Service,Industrials,Integrated Freight & Logistics
KLAC,KLA Corporation,KLA,Technology,Semiconductor Equipment & Materials
ANET,"Arista Networks, Inc.",Arista Networks,Technology,Computer Hardware
ADI,"Analog Devices, Inc.",Analog Devices,Technology,Semiconductors
REGN,"Regeneron Pharmaceuticals, Inc.",Regeneron Pharmaceuticals,Healthcare,Biotechnology
NKE,"NIKE, Inc.",Nike,Consumer Cyclical,Footwear & Accessories
BA,The Boeing Company,Boeing,Industrials,Aerospace & Defense
BSX,Boston Scientific Corporation,Boston Scientific,Healthcare,Medical Devices
PANW,"Palo Alto Networks, Inc.",Palo Alto Networks,Technology,Software - Infrastructure
LMT,Lockheed Martin Corporation,Lockheed Martin,Industrials,Aerospace & Defense
PLD,"Prologis, Inc.",Prologis,Real Estate,REIT - Industrial
MMC,"Marsh & McLennan Companies, Inc.",Marsh & McLennan Companies,Financial Services,Insurance Brokers
DE,Deere & Company,Deere & Company,Industrials,Farm & Heavy Construction Machinery
DELL,Dell Technologies Inc.,Dell,Technology,Computer Hardware
KKR,KKR & Co. Inc.,KKR & Co.,Financial Services,Asset Management
ABNB,"Airbnb, Inc.",Airbnb,Consumer Cyclical,Travel Services
ADP,"Automatic Data Processing, Inc.",Automatic Data Processing,Industrials,Staffing & Employment Services
SNPS,"Synopsys, Inc.",Synopsys,Technology,Software - Infrastructure
CRWD,"CrowdStrike Holdings, Inc.",CrowdStrike,Technology,Software - Infrastructure
AMT,American Tower Corporation,American Tower,Real Estate,REIT - Specialty
SCCO,Southern Copper Corporation,Southern Copper,Basic Materials,Copper
CI,The Cigna Group,Cigna,Healthcare,Healthcare Plans
MDLZ,"Mondelez International, Inc.",Mondelez,Consumer Defensive,Confectioners
FI,"Fiserv, Inc.",Fiserv,Technology,Information Technology Services
BX,Blackstone Inc.,Blackstone Group,Financial Services,Asset Management
CDNS,"Cadence Design Systems, Inc.",Cadence Design Systems,Technology,Software - Application
SBUX,Starbucks Corporation,Starbucks,Consumer Cyclical,Restaurants
CMG,"Chipotle Mexican Grill, Inc.",Chipotle Mexican Grill,Consumer Cyclical,Restaurants
SO,The Southern Company,Southern Company,Utilities,Utilities - Regulated Electric
WM,"Waste Management, Inc.",Waste Management,Industrials,Waste Management
HCA,"HCA Healthcare, Inc.",HCA Healthcare,Healthcare,Medical Care Facilities
GILD,"Gilead Sciences, Inc.",Gilead Sciences,Healthcare,Drug Manufacturers - General
APH,Amphenol Corporation,Amphenol,Technology,Electronic Components
ICE,"Intercontinental Exchange, Inc.",Intercontinental Exchange,Financial Services,Financial Data & Stock Exchanges
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb,Healthcare,Drug Manufacturers - General
ZTS,Zoetis Inc.,Zoetis,Healthcare,Drug Manufacturers - Specialty & Generic
CL,Colgate-Palmolive Company,Colgate-Palmolive,Consumer Defensive,Household & Personal Products
MO,"Altria Group, Inc.",Altria Group,Consumer Defensive,Tobacco
MCO,Moody's Corporation,Moody's,Financial Services,Financial Data & Stock Exchanges
DUK,Duke Energy Corporation,Duke Energy,Utilities,Utilities - Regulated Electric
GD,General Dynamics Corporation,General Dynamics,Industrials,Aerospace & Defense
MCK,McKesson Corporation,McKesson,Healthcare,Medical Distribution
SHW,The Sherwin-Williams Company,Sherwin-Williams,Basic Materials,Specialty Chemicals
FCX,Freeport-McMoRan Inc.,Freeport-McMoRan,Basic Materials,Copper
FDX,FedEx Corporation,FedEx,Industrials,Integrated Freight & Logistics
CTAS,Cintas Corporation,Cintas,Industrials,Specialty Business Services
EOG,"EOG Resources, Inc.",EOG Resources,Energy,Oil & Gas E&P
EQIX,"Equinix, Inc.",Equinix,Real Estate,REIT - Specialty
TDG,TransDigm Group Incorporated,TransDigm,Industrials,Aerospace & Defense
CVS,CVS Health Corporation,CVS Health,Healthcare,Healthcare Plans
CME,CME Group Inc.,CME Group,Financial Services,Financial Data & Stock Exchanges
ITW,Illinois Tool Works Inc.,Illinois Tool Works,Industrials,Specialty Industrial Machinery
MAR,"Marriott International, Inc.",Marriott International,Consumer Cyclical,Lodging
ECL,Ecolab Inc.,Ecolab,Basic Materials,Specialty Chemicals
APO,"Apollo Global Management, Inc.",Apollo Global Management,Financial Services,Asset Management
TGT,Target Corporation,Target,Consumer Defensive,Discount Stores
CEG,Constellation Energy Corporation,Constellation Energy,Utilities,Utilities - Renewable
SLB,Schlumberger Limited,Schlumberger,Energy,Oil & Gas Equipment & Services
BDX,"Becton, Dickinson and Company",Becton Dickinson,Healthcare,Medical Instruments & Supplies
CSX,CSX Corporation,CSX Corporation,Industrials,Railroads
PH,Parker-Hannifin Corporation,Parker-Hannifin,Industrials,Specialty Industrial Machinery
MSI,"Motorola Solutions, Inc.",Motorola Solutions,Technology,Communication Equipment
NOC,Northrop Grumman Corporation,Northrop Grumman,Industrials,Aerospace & Defense
WELL,Welltower Inc.,Welltower,Real Estate,REIT - Healthcare Facilities
EPD,Enterprise Products Partners L.P.,Enterprise Products,Energy,Oil & Gas Midstream
EMR,Emerson Electric Co.,Emerson,Industrials,Specialty Industrial Machinery
PYPL,"PayPal Holdings, Inc.",PayPal,Financial Services,Credit Services
MRVL,"Marvell Technology, Inc.",Marvell Technology Group,Technology,Semiconductors
PNC,"The PNC Financial Services Group, Inc.",PNC Financial Services,Financial Services,Banks - Regional
RSG,"Republic Services, Inc.",Republic Services,Industrials,Waste Management
USB,U.S. Bancorp,U.S. Bancorp,Financial Services,Banks - Regional
WDAY,"Workday, Inc.",Workday,Technology,Software - Application
PLTR,Palantir Technologies Inc.,Palantir,Technology,Software - Infrastructure
ORLY,"O'Reilly Automotive, Inc.",O'Reilly Automotive,Consumer Cyclical,Specialty Retail
ROP,"Roper Technologies, Inc.",Roper Technologies,Technology,Software - Application
MPC,Marathon Petroleum Corporation,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
PSX,Phillips 66,Phillips 66,Energy,Oil & Gas Refining & Marketing
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers
CARR,Carrier Global Corporation,Carrier,Industrials,Building Products & Equipment
APD,"Air Products and Chemicals, Inc.",Air Products and Chemicals,Basic Materials,Specialty Chemicals
MMM,3M Company,3M,Industrials,Conglomerates
EW,Edwards Lifesciences Corporation,Edwards Lifesciences,Healthcare,Medical Devices
COIN,"Coinbase Global, Inc.",Coinbase,Financial Services,Financial Data & Stock Exchanges
OXY,Occidental Petroleum Corporation,Occidental Petroleum,Energy,Oil & Gas E&P
SPG,"Simon Property Group, Inc.",Simon Property Group,Real Estate,REIT - Retail
ET,Energy Transfer LP,Energy Transfer Partners,Energy,Oil & Gas Midstream
HLT,Hilton Worldwide Holdings Inc.,Hilton Worldwide,Consumer Cyclical,Lodging
ADSK,"Autodesk, Inc.",Autodesk,Technology,Software - Application
GM,General Motors Company,General Motors,Consumer Cyclical,Auto Manufacturers
PCAR,PACCAR Inc,Paccar,Industrials,Farm & Heavy Construction Machinery
IBKR,"Interactive Brokers Group, Inc.",Interactive Brokers,Financial Services,Capital Markets
CPRT,"Copart, Inc.",Copart,Industrials,Specialty Business Services
COF,Capital One Financial Corporation,Capital One,Financial Services,Credit Services
WMB,"The Williams Companies, Inc.",Williams Companies,Energy,Oil & Gas Midstream
NEM,Newmont Corporation,Newmont,Basic Materials,Gold
TFC,Truist Financial Corporation,Truist Financial,Financial Services,Banks - Regional
F,Ford Motor Company,Ford,Consumer Cyclical,Auto Manufacturers
PSA,Public Storage,Public Storage,Real Estate,REIT - Industrial
AFL,Aflac Incorporated,Aflac,Financial Services,Insurance - Life
VLO,Valero Energy Corporation,Valero Energy,Energy,Oil & Gas Refining & Marketing
DLR,"Digital Realty Trust, Inc.",Digital Realty,Real Estate,REIT - Specialty
SMCI,"Super Micro Computer, Inc.",Supermicro,Technology,Computer Hardware
MCHP,Microchip Technology Incorporated,Microchip Technology,Technology,Semiconductors
MET,"MetLife, Inc.",MetLife,Financial Services,Insurance - Life
AIG,"American International Group, Inc.",American International Group,Financial Services,Insurance - Diversified
MNST,Monster Beverage Corporation,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic
TTD,"The Trade Desk, Inc.",The Trade Desk,Technology,Software - Application
NSC,Norfolk Southern Corporation,Norfolk Southern,Industrials,Railroads
ROST,"Ross Stores, Inc.",Ross Stores,Consumer Cyclical,Apparel Retail
GEV,GE Vernova Inc.,GE Vernova,Utilities,Utilities - Renewable
SRE,Sempra,Sempra Energy,Utilities,Utilities - Diversified
AZO,"AutoZone, Inc.",AutoZone,Consumer Cyclical,Specialty Retail
OKE,"ONEOK, Inc.",Oneok,Energy,Oil & Gas Midstream
SNOW,Snowflake Inc.,Snowflake,Technology,Software - Application
STZ,"Constellation Brands, Inc.",Constellation Brands,Consumer Defensive,Beverages - Wineries & Distilleries
FTNT,"Fortinet, Inc.",Fortinet,Technology,Software - Infrastructure
KMB,Kimberly-Clark Corporation,Kimberly-Clark,Consumer Defensive,Household & Personal Products
AEP,"American Electric Power Company, Inc.",American Electric Power,Utilities,Utilities - Regulated Electric
O,Realty Income Corporation,Realty Income,Real Estate,REIT - Retail
TRV,"The Travelers Companies, Inc.",The Travelers Companies,Financial Services,Insurance - Property & Casualty
WCN,"Waste Connections, Inc.",Waste Connections,Industrials,Waste Management
DASH,"DoorDash, Inc.",DoorDash,Communication Services,Internet Content & Information
MRNA,"Moderna, Inc.",Moderna,Healthcare,Biotechnology
HES,Hess Corporation,Hess,Energy,Oil & Gas E&P
DXCM,"DexCom, Inc.",DexCom,Healthcare,Medical Devices
PCG,PG&E Corporation,Pacific Gas and Electric,Utilities,Utilities - Regulated Electric
DDOG,"Datadog, Inc.",Datadog,Technology,Software - Application
GWW,"W.W. Grainger, Inc.",W. W. Grainger,Industrials,Industrial Distribution
BK,The Bank of New York Mellon Corporation,BNY Mellon (Bank of New York Mellon),Financial Services,Asset Management
DHI,"D.R. Horton, Inc.",D. R. Horton,Consumer Cyclical,Residential Construction
HUM,Humana Inc.,Humana,Healthcare,Healthcare Plans
KDP,Keurig Dr Pepper Inc.,Keurig Dr Pepper,Consumer Defensive,Beverages - Non-Alcoholic
KMI,"Kinder Morgan, Inc.",Kinder Morgan,Energy,Oil & Gas Midstream
COR,"Cencora, Inc.",Cencora,Healthcare,Medical Distribution
CHTR,"Charter Communications, Inc.",Charter Communications,Communication Services,Telecom Services
MPLX,MPLX LP,MPLX,Energy,Oil & Gas Midstream
ARES,Ares Management Corporation,Ares Management,Financial Services,Asset Management
AMP,"Ameriprise Financial, Inc.",Ameriprise Financial,Financial Services,Asset Management
URI,"United Rentals, Inc.",United Rentals,Industrials,Rental & Leasing Services
LHX,"L3Harris Technologies, Inc.",L3Harris Technologies,Industrials,Aerospace & Defense
PAYX,"Paychex, Inc.",Paychex,Industrials,Staffing & Employment Services
PRU,"Prudential Financial, Inc.",Prudential Financial,Financial Services,Insurance - Life
FIS,"Fidelity National Information Services, Inc.",Fidelity National Information Services,Technology,Information Technology Services
ALL,The Allstate Corporation,Allstate,Financial Services,Insurance - Property & Casualty
CCI,Crown Castle Inc.,Crown Castle,Real Estate,REIT - Specialty
D,"Dominion Energy, Inc.",Dominion Energy,Utilities,Utilities - Regulated Electric
MPWR,"Monolithic Power Systems, Inc.",Monolithic Power Systems,Technology,Semiconductors
SQ,"Block, Inc.",Block,Technology,Software - Infrastructure
RCL,Royal Caribbean Cruises Ltd.,Royal Caribbean,Consumer Cyclical,Travel Services
IDXX,"IDEXX Laboratories, Inc.",IDEXX Laboratories,Healthcare,Diagnostics & Research
LNG,"Cheniere Energy, Inc.",Cheniere Energy,Energy,Oil & Gas Midstream
ODFL,"Old Dominion Freight Line, Inc.",Old Dominion Freight Line,Industrials,Trucking
MSCI,MSCI Inc.,MSCI,Financial Services,Financial Data & Stock Exchanges
OTIS,Otis Worldwide Corporation,Otis Worldwide,Industrials,Specialty Industrial Machinery
VRSK,"Verisk Analytics, Inc.",Verisk Analytics,Industrials,Consulting Services
KHC,The Kraft Heinz Company,Kraft Heinz,Consumer Defensive,Packaged Foods
LEN,Lennar Corporation,Lennar,Consumer Cyclical,Residential Construction
AME,"AMETEK, Inc.",Ametek,Industrials,Specialty Industrial Machinery
FICO,Fair Isaac Corporation,FICO,Technology,Software - Application
EL,The Estée Lauder Companies Inc.,Estee Lauder,Consumer Defensive,Household & Personal Products
IQV,IQVIA Holdings Inc.,IQVIA,Healthcare,Diagnostics & Research
KR,The Kroger Co.,Kroger,Consumer Defensive,Grocery Stores
HSY,The Hershey Company,The Hershey Company,Consumer Defensive,Confectioners
PWR,"Quanta Services, Inc.",Quanta Services,Industrials,Engineering & Construction
PEG,Public Service Enterprise Group Incorporated,PSEG,Utilities,Utilities - Regulated Electric
NUE,Nucor Corporation,Nucor,Basic Materials,Steel
A,"Agilent Technologies, Inc.",Agilent Technologies,Healthcare,Diagnostics & Research
EA,Electronic Arts Inc.,Electronic Arts,Communication Services,Electronic Gaming & Multimedia
DOW,Dow Inc.,Dow,Basic Materials,Chemicals
CTVA,"Corteva, Inc.",Corteva,Basic Materials,Agricultural Inputs
CMI,Cummins Inc.,Cummins,Industrials,Specialty Industrial Machinery
YUM,"Yum! Brands, Inc.",Yum! Brands,Consumer Cyclical,Restaurants
FANG,"Diamondback Energy, Inc.",Diamondback Energy,Energy,Oil & Gas E&P
FAST,Fastenal Company,Fastenal,Industrials,Industrial Distribution
CNC,Centene Corporation,Centene,Healthcare,Healthcare Plans
GEHC,GE HealthCare Technologies Inc.,GE HealthCare Technologies,Healthcare,Health Information Services
GIS,"General Mills, Inc.",General Mills,Consumer Defensive,Packaged Foods
IT,"Gartner, Inc.",Gartner,Technology,Information Technology Services
KVUE,Kenvue Inc.,Kenvue,Consumer Defensive,Household & Personal Products
NDAQ,"Nasdaq, Inc.",Nasdaq,Financial Services,Financial Data & Stock Exchanges
SYY,Sysco Corporation,Sysco,Consumer Defensive,Food Distribution
GBTC,Grayscale Bitcoin Trust ETF (BTC),Grayscale Bitcoin Trust,,
BKR,Baker Hughes Company,Baker Hughes,Energy,Oil & Gas Equipment & Services
VRT,Vertiv Holdings Co,Vertiv Holdings,Industrials,Electrical Equipment & Parts
EXC,Exelon Corporation,Exelon Corporation,Utilities,Utilities - Regulated Electric
EXR,Extra Space Storage Inc.,Extra Space Storage,Real Estate,REIT - Industrial
HPQ,HP Inc.,HP,Technology,Computer Hardware
CTSH,Cognizant Technology Solutions Corporation,Cognizant Technology Solutions,Technology,Information Technology Services
MLM,"Martin Marietta Materials, Inc.",Martin Marietta,Basic Materials,Building Materials
DD,"DuPont de Nemours, Inc.",Dupont De Nemours,Basic Materials,Specialty Chemicals
GLW,Corning Incorporated,Corning,Technology,Electronic Components
BIIB,Biogen Inc.,Biogen,Healthcare,Drug Manufacturers - General
XYL,Xylem Inc.,Xylem,Industrials,Specialty Industrial Machinery
DFS,Discover Financial Services,Discover Financial Services,Financial Services,Credit Services
VMC,Vulcan Materials Company,Vulcan Materials,Basic Materials,Building Materials
HWM,Howmet Aerospace Inc.,Howmet Aerospace,Industrials,Aerospace & Defense
ALNY,"Alnylam Pharmaceuticals, Inc.",Alnylam Pharmaceuticals,Healthcare,Biotechnology
ON,ON Semiconductor Corporation,ON Semiconductor,Technology,Semiconductors
LVS,Las Vegas Sands Corp.,Las Vegas Sands,Consumer Cyclical,Resorts & Casinos
VST,Vistra Corp.,Vistra,Utilities,Utilities - Independent Power Producers
ED,"Consolidated Edison, Inc.",Consolidated Edison,Utilities,Utilities - Regulated Electric
ZS,"Zscaler, Inc.",Zscaler,Technology,Software - Infrastructure
LYB,LyondellBasell Industries N.V.,LyondellBasell,Basic Materials,Specialty Chemicals
ADM,Archer-Daniels-Midland Company,Archer Daniels Midland (ADM),Consumer Defensive,Farm Products
ROK,"Rockwell Automation, Inc.",Rockwell Automation,Industrials,Specialty Industrial Machinery
EFX,Equifax Inc.,Equifax,Industrials,Consulting Services
HUBS,"HubSpot, Inc.",HubSpot,Technology,Software - Application
CSGP,"CoStar Group, Inc.",CoStar Group,Real Estate,Real Estate Services
PINS,"Pinterest, Inc.",Pinterest,Communication Services,Internet Content & Information
DVN,Devon Energy Corporation,Devon Energy,Energy,Oil & Gas E&P
DAL,"Delta Air Lines, Inc.",Delta Air Lines,Industrials,Airlines
VEEV,Veeva Systems Inc.,Veeva Systems,Healthcare,Health Information Services
NET,"Cloudflare, Inc.",Cloudflare,Technology,Software - Infrastructure
TRGP,Targa Resources Corp.,Targa Resources,Energy,Oil & Gas Midstream
PPG,"PPG Industries, Inc.",PPG Industries,Basic Materials,Specialty Chemicals
GFS,GLOBALFOUNDRIES Inc.,GlobalFoundries,Technology,Semiconductors
HAL,Halliburton Company,Halliburton,Energy,Oil & Gas Equipment & Services
XEL,Xcel Energy Inc.,Xcel Energy,Utilities,Utilities - Regulated Electric
HIG,"The Hartford Financial Services Group, Inc.",The Hartford,Financial Services,Insurance - Property & Casualty
CDW,CDW Corporation,CDW Corporation,Technology,Information Technology Services
VICI,VICI Properties Inc.,VICI Properties,Real Estate,REIT - Diversified
ANSS,"ANSYS, Inc.",Ansys,Technology,Software - Application
AVB,"AvalonBay Communities, Inc.",AvalonBay Communities,Real Estate,REIT - Residential
MTD,Mettler-Toledo International Inc.,Mettler-Toledo,Healthcare,Diagnostics & Research
RMD,ResMed Inc.,ResMed,Healthcare,Medical Instruments & Supplies
APP,AppLovin Corporation,AppLovin,Technology,Software - Application
TSCO,Tractor Supply Company,Tractor Supply,Consumer Cyclical,Specialty Retail
DG,Dollar General Corporation,Dollar General,Consumer Defensive,Discount Stores
EIX,Edison International,Edison International,Utilities,Utilities - Regulated Electric
RKT,"Rocket Companies, Inc.",Rocket Companies,Financial Services,Mortgage Finance
WAB,Westinghouse Air Brake Technologies Corporation,Wabtec,Industrials,Railroads
HEI,HEICO Corporation,HEICO,Industrials,Aerospace & Defense
SNAP,Snap Inc.,Snap,Communication Services,Internet Content & Information
IRM,Iron Mountain Incorporated,Iron Mountain,Real Estate,REIT - Specialty
CBRE,"CBRE Group, Inc.",CBRE Group,Real Estate,Real Estate Services
HPE,Hewlett Packard Enterprise Company,Hewlett Packard Enterprise,Technology,Communication Equipment
NTAP,"NetApp, Inc.",NetApp,Technology,Computer Hardware
TTWO,"Take-Two Interactive Software, Inc.",Take 2 Interactive,Communication Services,Electronic Gaming & Multimedia
EBAY,eBay Inc.,eBay,Consumer Cyclical,Internet Retail
CHD,"Church & Dwight Co., Inc.",Church & Dwight,Consumer Defensive,Household & Personal Products
OWL,Blue Owl Capital Inc.,Blue Owl Capital,Financial Services,Asset Management
BRO,"Brown & Brown, Inc.",Brown &amp; Brown,Financial Services,Insurance Brokers
CCL,Carnival Corporation & plc,Carnival Corporation,Consumer Cyclical,Travel Services
EQR,Equity Residential,Equity Residential,Real Estate,REIT - Residential
TROW,"T. Rowe Price Group, Inc.",T. Rowe Price,Financial Services,Asset Management
FTV,Fortive Corporation,Fortive,Technology,Scientific & Technical Instruments
AWK,"American Water Works Company, Inc.",American Water Works,Utilities,Utilities - Regulated Water
WDC,Western Digital Corporation,Western Digital,Technology,Computer Hardware
FMCCT,Federal Home Loan Mortgage Corporation,Freddie Mac,Financial Services,Mortgage Finance
RJF,"Raymond James Financial, Inc.",Raymond James,Financial Services,Capital Markets
RBLX,Roblox Corporation,Roblox,Communication Services,Electronic Gaming & Multimedia
WEC,"WEC Energy Group, Inc.",WEC Energy Group,Utilities,Utilities - Regulated Electric
GPN,Global Payments Inc.,Global Payments,Industrials,Specialty Business Services
FITB,Fifth Third Bancorp,Fifth Third Bank,Financial Services,Banks - Regional
FCNCA,"First Citizens BancShares, Inc.",First Citizens BancShares,Financial Services,Banks - Regional
MTB,M&T Bank Corporation,M&T Bank,Financial Services,Banks - Regional
ROL,"Rollins, Inc.",Rollins,Consumer Cyclical,Personal Services
IFF,International Flavors & Fragrances Inc.,International Flavors & Fragrances,Basic Materials,Specialty Chemicals
DOV,Dover Corporation,Dover,Industrials,Specialty Industrial Machinery
KEYS,"Keysight Technologies, Inc.",Keysight,Technology,Scientific & Technical Instruments
DECK,Deckers Outdoor Corporation,Deckers Brands,Consumer Cyclical,Footwear & Accessories
BR,"Broadridge Financial Solutions, Inc.",Broadridge Financial Solutions,Technology,Information Technology Services
FSLR,"First Solar, Inc.",First Solar,Technology,Solar
CQP,"Cheniere Energy Partners, L.P.",Cheniere Energy,Energy,Oil & Gas Midstream
WST,"West Pharmaceutical Services, Inc.",West Pharmaceutical,Healthcare,Medical Instruments & Supplies
TER,"Teradyne, Inc.",Teradyne,Technology,Semiconductor Equipment & Materials
VLTO,Veralto Corporation,Veralto,Industrials,Pollution & Treatment Controls
CAH,"Cardinal Health, Inc.",Cardinal Health,Healthcare,Medical Distribution
NVR,"NVR, Inc.",NVR,Consumer Cyclical,Residential Construction
TW,Tradeweb Markets Inc.,Tradeweb,Financial Services,Capital Markets
DLTR,"Dollar Tree, Inc.",Dollar Tree,Consumer Defensive,Discount Stores
MSTR,MicroStrategy Incorporated,MicroStrategy,Technology,Software - Application
DTE,DTE Energy Company,DTE Energy,Utilities,Utilities - Regulated Electric
AXON,"Axon Enterprise, Inc.",Axon Enterprise,Industrials,Aerospace & Defense
ETR,Entergy Corporation,Entergy,Utilities,Utilities - Regulated Electric
PTC,PTC Inc.,PTC,Technology,Software - Application
ZBH,"Zimmer Biomet Holdings, Inc.",Zimmer Biomet,Healthcare,Medical Devices
STT,State Street Corporation,State Street Corporation,Financial Services,Asset Management
FE,FirstEnergy Corp.,FirstEnergy,Utilities,Utilities - Regulated Electric
INVH,Invitation Homes Inc.,Invitation Homes,Real Estate,REIT - Residential
LYV,"Live Nation Entertainment, Inc.",Live Nation,Communication Services,Entertainment
PHM,"PulteGroup, Inc.",PulteGroup,Consumer Cyclical,Residential Construction
TYL,"Tyler Technologies, Inc.",Tyler Technologies,Technology,Software - Application
